split,label,num_images,size_MB,count_.jpg
test,dalle3,3439,97.8,3439
test,midjourney,3436,146.4,3436
test,real,3476,291.9,3476
test,sd21,3426,519.5,3426
test,sd3,3449,871.4,3449
test,sdxl,3364,676.1,3364
train,dalle3,7000,229.4,7000
train,midjourney,6961,307.7,6961
train,real,7000,664.0,7000
train,sd21,7000,1131.1,7000
train,sd3,7000,1861.9,7000
train,sdxl,7000,1444.2,7000
validation,dalle3,1500,49.4,1500
validation,midjourney,1491,66.0,1491
validation,real,1500,141.6,1500
validation,sd21,1500,243.0,1500
validation,sd3,1500,398.3,1500
validation,sdxl,1500,311.1,1500
