label,file,hf_ratio,noise_std,is_fake,color_mean_r,color_mean_g,color_mean_b,color_var_r,color_var_g,color_var_b,jpeg_block_score
dalle3,E:\437 project\dataset\train\fake\fake_39004_DALLE3.jpg,0.56383663,14.87266,1,172.06879,177.18513,177.99988,3157.1792,2755.0476,2372.613,-0.049173832
dalle3,E:\437 project\dataset\train\fake\fake_17668_DALLE3.jpg,0.46575937,17.351145,1,121.563614,116.19682,112.98872,4305.413,3670.8787,3489.815,-0.049466133
dalle3,E:\437 project\dataset\train\fake\fake_12148_DALLE3.jpg,0.6173552,22.219484,1,137.01923,130.46536,121.16432,6052.6626,6401.1265,5823.3594,1.5447779
dalle3,E:\437 project\dataset\train\fake\fake_01582_DALLE3.jpg,0.6443494,11.810465,1,132.65141,116.469315,101.66229,3039.7302,3498.63,3443.5298,-0.011118412
dalle3,E:\437 project\dataset\train\fake\fake_26104_DALLE3.jpg,0.5703949,15.245313,1,88.59598,68.2126,45.719513,5003.7983,2256.2256,768.57166,-0.1664567
dalle3,E:\437 project\dataset\train\fake\fake_20548_DALLE3.jpg,0.47454932,16.693058,1,123.681274,108.60149,94.31467,5168.7065,5053.4194,4786.0034,-0.09966087
dalle3,E:\437 project\dataset\train\fake\fake_40492_DALLE3.jpg,0.63223475,12.174803,1,123.77721,135.99454,141.18668,2855.2769,2914.7332,2541.9985,0.42093682
dalle3,E:\437 project\dataset\train\fake\fake_37294_DALLE3.jpg,0.4702853,16.077452,1,134.60379,110.87187,80.96005,5428.6216,5317.701,4067.147,0.20231962
dalle3,E:\437 project\dataset\train\fake\fake_38176_DALLE3.jpg,0.46148103,13.214902,1,82.69002,81.237015,80.59903,4721.498,4450.4917,4083.5183,0.204041
dalle3,E:\437 project\dataset\train\fake\fake_33538_DALLE3.jpg,0.34207067,11.35919,1,99.26103,89.589096,70.95308,3542.4846,3247.7378,3511.843,-0.055594444
dalle3,E:\437 project\dataset\train\fake\fake_00796_DALLE3.jpg,0.7358228,19.988705,1,141.19632,125.542175,106.02852,4807.7603,4223.931,2992.5728,0.22200155
dalle3,E:\437 project\dataset\train\fake\fake_38440_DALLE3.jpg,0.5641341,19.56314,1,86.10837,95.51317,94.539444,4344.2437,4583.798,3983.0195,0.59657
dalle3,E:\437 project\dataset\train\fake\fake_25678_DALLE3.jpg,0.4700019,11.462917,1,167.95183,121.54559,61.17064,4801.69,4289.9497,2993.5112,0.093465805
dalle3,E:\437 project\dataset\train\fake\fake_14392_DALLE3.jpg,0.6115047,16.124428,1,201.08676,185.85936,174.50275,2502.8604,2965.5251,3405.726,-0.3187871
dalle3,E:\437 project\dataset\train\fake\fake_34276_DALLE3.jpg,0.5836446,20.831514,1,128.30086,112.44046,97.11026,5454.43,5094.5576,3576.4404,0.056087017
dalle3,E:\437 project\dataset\train\fake\fake_19528_DALLE3.jpg,0.6957692,16.85376,1,147.56982,126.07411,104.525314,3776.5537,4145.6396,3320.906,0.028514385
dalle3,E:\437 project\dataset\train\fake\fake_36160_DALLE3.jpg,0.5898969,18.745152,1,137.56017,170.29285,156.21379,4003.066,3056.5774,3653.9421,0.032499313
dalle3,E:\437 project\dataset\train\fake\fake_13588_DALLE3.jpg,0.45616317,16.105425,1,112.52385,71.29573,49.634277,5549.277,4021.8376,2694.7112,-0.15625763
dalle3,E:\437 project\dataset\train\fake\fake_11650_DALLE3.jpg,0.7200501,14.303482,1,137.13501,107.05516,96.29758,4055.6428,4284.3613,4096.1763,0.13918543
dalle3,E:\437 project\dataset\train\fake\fake_04582_DALLE3.jpg,0.42173433,9.410903,1,162.08336,151.65907,144.78174,2366.669,2966.0593,3291.4058,0.20073032
dalle3,E:\437 project\dataset\train\fake\fake_19060_DALLE3.jpg,0.44902807,15.780486,1,151.09805,125.102585,109.01677,4861.9297,5188.877,5008.7295,-0.08642244
dalle3,E:\437 project\dataset\train\fake\fake_18274_DALLE3.jpg,0.5543752,14.566631,1,178.47923,159.46436,136.93372,3680.269,2492.4143,1900.1097,-0.15221882
dalle3,E:\437 project\dataset\train\fake\fake_18388_DALLE3.jpg,0.5995974,16.948542,1,119.221344,100.10335,74.89847,4554.2065,4194.2056,3016.1584,0.377398
dalle3,E:\437 project\dataset\train\fake\fake_00610_DALLE3.jpg,0.63421774,13.503083,1,95.13292,103.29237,56.336212,3216.1746,3446.3547,2214.5776,0.17258453
dalle3,E:\437 project\dataset\train\fake\fake_37426_DALLE3.jpg,0.47773632,11.833812,1,166.67601,118.99835,100.980316,4734.4634,4657.7646,4071.611,0.023150682
dalle3,E:\437 project\dataset\train\fake\fake_08230_DALLE3.jpg,0.71616876,17.925785,1,150.7317,131.71225,130.56754,3617.0483,3462.116,2095.9873,-0.28786945
dalle3,E:\437 project\dataset\train\fake\fake_03754_DALLE3.jpg,0.6157525,15.695085,1,127.443375,123.293045,121.87042,3560.5051,2963.5042,2521.0044,-0.81784296
dalle3,E:\437 project\dataset\train\fake\fake_23500_DALLE3.jpg,0.64312595,19.186647,1,86.554565,102.71097,113.52458,3614.7983,3910.491,3404.7402,-0.2595601
dalle3,E:\437 project\dataset\train\fake\fake_06454_DALLE3.jpg,0.53416437,15.807779,1,115.66225,104.16586,96.57269,5654.558,3637.4673,2566.684,0.11182308
dalle3,E:\437 project\dataset\train\fake\fake_19540_DALLE3.jpg,0.73709416,23.63562,1,164.31844,173.98114,160.16014,4747.4775,3643.0168,4745.1074,0.09164333
dalle3,E:\437 project\dataset\train\fake\fake_13900_DALLE3.jpg,0.6477129,26.835838,1,162.54707,172.11882,167.54482,5088.342,3697.4287,2745.7168,0.3191743
dalle3,E:\437 project\dataset\train\fake\fake_03370_DALLE3.jpg,0.4704029,14.510286,1,132.07785,122.71295,116.99991,4750.542,5702.4575,6380.312,0.0375762
dalle3,E:\437 project\dataset\train\fake\fake_32668_DALLE3.jpg,0.50822556,15.006048,1,152.21909,142.68576,121.53677,3751.1575,3950.4468,4172.1606,-0.48710155
dalle3,E:\437 project\dataset\train\fake\fake_30622_DALLE3.jpg,0.48212305,16.047625,1,102.98837,114.08153,119.379715,4567.8516,3829.3499,3974.963,-0.40408087
dalle3,E:\437 project\dataset\train\fake\fake_18046_DALLE3.jpg,0.48004058,35.21772,1,175.33786,192.54793,194.81223,8174.326,6467.006,6439.2,0.4783821
dalle3,E:\437 project\dataset\train\fake\fake_06694_DALLE3.jpg,0.5650042,16.137033,1,130.57281,108.312195,90.09653,3936.403,3569.882,2684.9998,0.30253553
dalle3,E:\437 project\dataset\train\fake\fake_23452_DALLE3.jpg,0.6322602,16.598387,1,130.99654,131.7022,116.95935,3186.0652,3340.5232,3577.5356,-0.51544285
dalle3,E:\437 project\dataset\train\fake\fake_12922_DALLE3.jpg,0.64741135,12.638757,1,110.35007,120.77492,122.9754,3515.1982,3118.7832,2946.897,-0.52889824
dalle3,E:\437 project\dataset\train\fake\fake_37342_DALLE3.jpg,0.6200679,15.923497,1,129.35048,104.367676,81.91441,2735.666,3119.9968,3105.0496,0.25648594
dalle3,E:\437 project\dataset\train\fake\fake_31750_DALLE3.jpg,0.72684336,19.156025,1,77.66116,96.18791,108.45326,3656.4626,3787.258,3587.1099,-0.016088009
dalle3,E:\437 project\dataset\train\fake\fake_21058_DALLE3.jpg,0.4793556,9.380423,1,85.673965,106.30145,103.94141,3468.5723,3488.22,3491.4043,0.2216816
dalle3,E:\437 project\dataset\train\fake\fake_07726_DALLE3.jpg,0.51752293,10.192691,1,147.49362,191.43683,205.526,3071.3074,1255.9304,632.53204,-0.08627939
dalle3,E:\437 project\dataset\train\fake\fake_01474_DALLE3.jpg,0.53168124,18.828854,1,98.95999,86.641815,79.5081,3436.0747,3153.8037,2922.1633,0.12169886
dalle3,E:\437 project\dataset\train\fake\fake_10774_DALLE3.jpg,0.64304924,14.567955,1,149.8241,122.41757,105.19374,2832.0693,3639.1924,3883.261,-0.3579502
dalle3,E:\437 project\dataset\train\fake\fake_31522_DALLE3.jpg,0.46013895,20.057436,1,115.15468,99.18468,86.31323,6195.4673,5442.799,4368.675,0.22137308
dalle3,E:\437 project\dataset\train\fake\fake_18196_DALLE3.jpg,0.73493385,21.846384,1,113.873184,108.60553,105.39569,4559.887,4770.9873,5043.9985,-0.020996094
dalle3,E:\437 project\dataset\train\fake\fake_17176_DALLE3.jpg,0.68157417,14.122307,1,116.63692,122.69069,117.103546,3027.8147,2202.1414,1487.3826,-0.32361364
dalle3,E:\437 project\dataset\train\fake\fake_16042_DALLE3.jpg,0.5554711,18.704882,1,141.69414,126.39816,121.263306,4175.7236,5387.245,6536.71,-0.5855794
dalle3,E:\437 project\dataset\train\fake\fake_35926_DALLE3.jpg,0.57059497,20.756905,1,92.39728,89.767914,81.57768,5200.665,4394.671,3839.305,0.5413203
dalle3,E:\437 project\dataset\train\fake\fake_01066_DALLE3.jpg,0.5886535,11.570689,1,162.77898,132.80046,113.92642,2449.3057,3513.837,3567.9197,-0.8435905
dalle3,E:\437 project\dataset\train\fake\fake_38806_DALLE3.jpg,0.500403,10.108754,1,85.51218,90.185425,83.339355,3441.8364,2286.547,1606.6583,-0.056405544
dalle3,E:\437 project\dataset\train\fake\fake_00226_DALLE3.jpg,0.57737744,13.149422,1,76.81067,84.29837,93.80377,4509.7407,3950.0251,3085.9163,-0.28068066
dalle3,E:\437 project\dataset\train\fake\fake_20380_DALLE3.jpg,0.47757086,9.663767,1,155.97017,148.67467,130.15407,2452.12,3177.975,4016.415,-0.97325706
dalle3,E:\437 project\dataset\train\fake\fake_22858_DALLE3.jpg,0.54730314,15.654533,1,142.0965,112.64197,84.95207,3634.2913,3724.4644,3419.8042,0.10452604
dalle3,E:\437 project\dataset\train\fake\fake_28252_DALLE3.jpg,0.49976522,14.195662,1,135.34938,128.39842,124.89012,3621.758,4379.039,4294.6235,-0.34437656
dalle3,E:\437 project\dataset\train\fake\fake_20200_DALLE3.jpg,0.48853037,17.359833,1,98.86922,85.62039,70.28995,4915.644,3888.3936,2796.9912,-0.071879864
dalle3,E:\437 project\dataset\train\fake\fake_28036_DALLE3.jpg,0.4982842,16.710943,1,112.27049,109.57742,109.54352,4584.7393,4406.7275,4519.6484,0.31229973
dalle3,E:\437 project\dataset\train\fake\fake_03514_DALLE3.jpg,0.5061172,11.518577,1,140.26344,97.385284,70.72862,6199.906,4217.985,2274.238,0.10037732
dalle3,E:\437 project\dataset\train\fake\fake_08632_DALLE3.jpg,0.6199431,21.996115,1,80.58888,74.160645,73.28206,3940.495,3224.1003,2850.8848,0.4644823
dalle3,E:\437 project\dataset\train\fake\fake_06136_DALLE3.jpg,0.49783334,15.096156,1,104.047,72.10065,53.209656,3979.2935,2900.7275,2039.5624,0.34812498
dalle3,E:\437 project\dataset\train\fake\fake_03268_DALLE3.jpg,0.53158414,13.714907,1,186.06389,154.7385,135.9996,4882.923,6609.0107,6435.8906,0.070373535
dalle3,E:\437 project\dataset\train\fake\fake_23284_DALLE3.jpg,0.52636164,17.182476,1,163.48956,145.61047,130.45944,4153.599,4918.5103,5369.1436,-0.14471436
dalle3,E:\437 project\dataset\train\fake\fake_06448_DALLE3.jpg,0.46053463,13.566013,1,108.97453,92.19829,81.118576,3909.765,3753.6328,3490.6753,-0.1956625
dalle3,E:\437 project\dataset\train\fake\fake_23800_DALLE3.jpg,0.4597266,11.65614,1,111.146225,102.67926,91.20599,3791.7798,4100.282,4269.553,-0.56987524
dalle3,E:\437 project\dataset\train\fake\fake_15298_DALLE3.jpg,0.6701628,22.10241,1,77.73187,77.87749,81.13869,3041.9114,3105.2373,3096.9307,0.66810083
dalle3,E:\437 project\dataset\train\fake\fake_29566_DALLE3.jpg,0.53064674,17.717386,1,119.49405,109.69951,101.02051,5116.4087,5331.3047,5189.9067,0.39150524
dalle3,E:\437 project\dataset\train\fake\fake_04516_DALLE3.jpg,0.65890944,16.608145,1,91.99365,81.818146,48.849655,4247.268,4033.5393,2487.2966,-0.030246735
dalle3,E:\437 project\dataset\train\fake\fake_28876_DALLE3.jpg,0.9253655,28.84243,1,162.66965,162.00415,162.39197,6143.405,6213.2334,6167.224,0.5478287
