split,label,converted,skipped,files_on_disk,count_matches
test,dalle3,3439,0,3439,True
test,midjourney,3436,0,3436,True
test,real,3476,0,3476,True
test,sd21,3426,0,3426,True
test,sd3,3449,0,3449,True
test,sdxl,3364,0,3364,True
train,dalle3,7000,0,7000,True
train,midjourney,6961,0,6961,True
train,real,7000,0,7000,True
train,sd21,7000,0,7000,True
train,sd3,7000,0,7000,True
train,sdxl,7000,0,7000,True
validation,dalle3,1500,0,1500,True
validation,midjourney,1491,0,1491,True
validation,real,1500,0,1500,True
validation,sd21,1500,0,1500,True
validation,sd3,1500,0,1500,True
validation,sdxl,1500,0,1500,True
