file,orig_split,group,label
E:\437 project\dataset\train\fake\fake_00001_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00002_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00003_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00004_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00005_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00007_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00008_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00009_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00010_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00011_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00013_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00014_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00015_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00016_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00017_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00019_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00020_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00021_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00022_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00023_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00025_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00026_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00027_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00028_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00029_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00031_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00032_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00033_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00034_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00035_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00037_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00038_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00039_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00040_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00041_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00043_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00044_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00045_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00046_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00047_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00049_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00050_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00051_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00052_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00053_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00055_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00056_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00057_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00058_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00059_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00061_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00062_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00063_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00064_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00065_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00067_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00068_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00069_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00070_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00071_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00073_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00074_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00075_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00076_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00077_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00079_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00080_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00081_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00082_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00083_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00085_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00086_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00087_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00088_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00089_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00091_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00092_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00093_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00094_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00095_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00097_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00098_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00099_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00100_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00101_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00103_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00104_SDXL.jpg,train,fake,sdxl
E:\437 project\dataset\train\fake\fake_00105_SD3.jpg,train,fake,sd3
E:\437 project\dataset\train\fake\fake_00106_DALLE3.jpg,train,fake,dalle3
E:\437 project\dataset\train\fake\fake_00107_Midjourney.jpg,train,fake,midjourney
E:\437 project\dataset\train\fake\fake_00109_SD21.jpg,train,fake,sd21
E:\437 project\dataset\train\fake\fake_00110_SDXL.jpg,train,fake,sdxl
